log10_accretion_rate abundances-ratio HeH-ratio
-9.372069877201992583e+00 -7.347913838169022327e-01 -5.857162608203014820e-02
-9.360129369522924847e+00 -1.005406712053956486e+00 5.080820866096374261e-02
-9.382587873155067371e+00 -4.770001457848476178e-01 1.965822020074147608e-02
-9.372200021092508493e+00 -7.339223145670112913e-01 -1.456355024936291098e-01
-9.399051978715091238e+00 -3.698860366686078649e-01 7.256505918349018258e-03
-9.396909064499803677e+00 -7.075205580221899382e-01 6.927336868886554977e-02
-9.402663222017684674e+00 -5.354021170363285620e-01 2.799584763526478948e-02
-9.409583656253627026e+00 -2.626418208629539564e-01 1.108736549698091517e-01
-9.388840685894560778e+00 -5.296918866493030009e-01 1.022229533339090099e-02
-9.394638777079027392e+00 -5.256597378060421377e-01 4.720910384612633792e-02
-9.362584824995627386e+00 -9.313017279582860297e-01 -2.537442499925463002e-01
-9.412229734909995926e+00 -6.444735585220593421e-01 7.767664218944411725e-02
-9.414096427988411619e+00 -6.074107782055016003e-01 9.134003722265907066e-02
-9.416440523045022104e+00 -8.266571457361910902e-01 7.117770365931902488e-02
-9.380147411463058305e+00 -5.018658815946475116e-01 7.332225282189773485e-02
-9.402070457992337538e+00 -7.123369764852194308e-01 9.575252976625051038e-02
-9.400059552587748612e+00 -5.036379626707034873e-01 5.768985873336567732e-02
-9.391383479487075192e+00 -1.009816550131436230e+00 -2.798336651482681570e-02
-9.401054263051086934e+00 -4.313415431012268542e-01 7.514979039487998391e-02
-9.412886208567053714e+00 -6.230829790473899621e-01 1.309341527453693477e-01
-9.403688973248097938e+00 -7.461420787586288128e-01 3.479116470714232329e-02
-9.392316889028528237e+00 -5.282045969621727011e-01 -7.736740126265911899e-02
-9.392543056249948563e+00 -2.764987726783907362e-01 -6.424929314198055130e-02
-9.393304484963314493e+00 -6.022800601827835720e-01 9.099280718787364219e-03
-9.399701202577128711e+00 -7.230307467921504028e-01 -1.283884482586136189e-01
-9.414883471070067955e+00 -7.085165710819714135e-01 -4.257936348627679168e-02
-9.379113837237799345e+00 -6.222640728130182097e-01 2.153799312728413295e-02
-9.384409252872618623e+00 -5.926408110743706104e-01 2.172944563135308094e-02
-9.404447233145814877e+00 -8.828490038427618813e-01 6.653313715907066550e-02
-9.401403597591967198e+00 -4.194239665744081691e-01 3.090382635217259200e-02
-9.390161002047449301e+00 -7.476984527391978830e-01 1.404238929887456633e-01
-9.407267672199326469e+00 -1.085899293011005629e+00 -4.362317044424020296e-02
-9.398117583025674904e+00 -9.850124737015231169e-01 4.321207943029230225e-02
-9.375657587039256669e+00 -7.229098102151962912e-01 -6.465618983240967177e-02
-9.402967389708928536e+00 -5.116172147219657518e-01 -5.560346068960404786e-02
-9.376187790213938555e+00 -7.402560971853526794e-01 6.389911235135894985e-02
-9.397234765069844897e+00 -9.486471413722723511e-01 -7.022438694286024796e-02
-9.401799922030239287e+00 -4.002787028575216510e-01 1.411453831254221858e-01
-9.393311349074656036e+00 -3.787311239794171058e-01 1.198826297296685661e-01
-9.400246839497706119e+00 -5.378098075598378713e-01 7.298215725061045489e-02
-9.375478575427699468e+00 -6.313799709218592682e-01 4.526641213484253190e-02
-9.343279289919273367e+00 -4.685048474615642888e-01 -2.822983589402795757e-02
-9.409374801418552536e+00 -7.276436423525320940e-01 -4.916450896675307602e-02
-9.393856892734344655e+00 -4.623148825782950055e-01 -7.802380292503276193e-02
-9.387312678187797133e+00 -4.298250749470478027e-01 -6.890571974547420042e-02
-9.405763523261558845e+00 -6.779883799844785841e-01 2.051320827047939388e-02
-9.402663222017684674e+00 -5.354021170363285620e-01 2.799584763526478948e-02
-9.404021762027737097e+00 -3.765086851574173110e-01 3.378003055771102575e-02
-9.384451886392797704e+00 -6.569295483621644394e-01 5.922534893313772392e-02
-9.391419371636240854e+00 -5.021084752196056655e-01 7.466350970310324520e-02
-9.378330914542159391e+00 -8.330673074321151006e-01 -2.551237819897500536e-01
-9.415108143864225454e+00 -6.404125906250230926e-01 8.398502216668245202e-02
-9.410102468560202382e+00 -5.586660018901081770e-01 7.429130668234351642e-02
-9.417908949734732360e+00 -8.596816654916050737e-01 4.924720377850698438e-02
-9.399517060864882367e+00 -6.283310766598573238e-01 5.836918563097100165e-02
-9.405506253767596192e+00 -6.233346312630194674e-01 8.512761233921349591e-02
-9.417475000108199268e+00 -9.112217646251359326e-01 2.108840630991110424e-02
-9.389793177543028335e+00 -8.111943964850221178e-01 -3.716496855014096712e-02
-9.390925231552259334e+00 -5.276906489504185060e-01 5.963558211754733940e-02
-9.410977520759452375e+00 -6.041693457634691455e-01 1.400468670108364899e-01
-9.406053255736265939e+00 -4.968385066063722988e-01 5.342088160656426055e-02
-9.405232225175570449e+00 -4.789505365595987385e-01 -1.613435113838348200e-01
-9.392589315910033321e+00 -3.711532418114353860e-01 1.156048976904968939e-01
-9.392765530620000192e+00 -6.104721164836295344e-01 2.466563671876871588e-03
-9.410960014812836505e+00 -5.465110723426347406e-01 -1.144663759346022103e-01
-9.414934476797569118e+00 -7.277217993570976873e-01 -1.966699876464367280e-02
-9.377222851885557375e+00 -4.865785799375466070e-01 1.379037028663751552e-02
-9.389523761873430630e+00 -6.828281418877555353e-01 7.221312063172123652e-02
-9.384269562457005165e+00 -6.704945328714355668e-01 4.702463025250881723e-02
-9.408769077034422779e+00 -4.286241804172403747e-01 -8.804837800223397348e-04
-9.396557898912192286e+00 -7.690484132704753506e-01 -5.944259553289539533e-03
-9.422953877457441507e+00 -7.403502353804025660e-01 -9.385416295619729288e-02
-9.387459530196581525e+00 -8.124634932708367785e-01 1.577174341919601597e-02
-9.372636513208611575e+00 -6.364149336616318209e-01 -8.160397486081638618e-02
-9.403215849632244883e+00 -5.305228051074291074e-01 -5.912991703342239391e-02
-9.378896024104836471e+00 -6.280042651771884366e-01 6.413282383283380739e-02
-9.406612661242933271e+00 -7.987029760816550805e-01 -5.262454088947046693e-02
-9.403448724843348927e+00 -3.879447292765236810e-01 2.114804442455673894e-01
-9.400180193076497659e+00 -5.348205765267657341e-01 8.275400095590022820e-02
-9.413428623359537895e+00 -5.603776008584189228e-01 7.594273692084015093e-02
-9.392488502386246552e+00 -5.159482852422279109e-01 -2.142563441195051432e-02
-9.352807380228851386e+00 -5.683453404494809291e-01 -1.382072800273659308e-01
-9.414630186154848701e+00 -8.724535226118623754e-01 1.982505784267434013e-02
-9.404230545421238929e+00 -4.912236408593848580e-01 -2.124181396604425676e-02
-9.401113484744497484e+00 -3.205942375168140401e-01 -2.763756826336213890e-03
-9.388835428113404546e+00 -5.420100782883592316e-01 -1.399220423051982243e-01
-9.402704696133895368e+00 -5.347145628315947974e-01 2.779441166614243786e-02
-9.405159527041515588e+00 -4.296964733862678187e-01 2.886074763804382173e-02
-9.386557533738260517e+00 -7.002656241513136592e-01 1.155593907091041761e-01
-9.404490169019082302e+00 -5.859977699253295924e-01 7.273819891219866773e-02
-9.381216911214989906e+00 -7.411316938691498990e-01 -2.118263403735287653e-01
-9.410647615719129888e+00 -5.498521618453038329e-01 1.051226730328947701e-01
-9.409537015617283728e+00 -5.837566474043054399e-01 7.220005934437480344e-02
