log10_accretion_rate abundances-ratio HeH-ratio
-9.640358763755964233e+00 -8.524962065712378134e-01 2.181225974664358080e-02
-9.624617874019705255e+00 -7.046710537104901029e-01 -7.992854938103488571e-02
-9.537260108103065903e+00 -5.342608843497735904e-01 -1.309030848822373971e-01
-9.576543990027161612e+00 -6.116256517778433377e-01 -1.915467221136520015e+00
-9.658077770936255746e+00 -1.589784573909174270e-01 5.814270217085193426e-04
-9.664428738445948852e+00 -8.358267481684689137e-01 -1.795211458006609750e-02
-9.653824498853738945e+00 -5.220287599990456329e-01 -1.431155519601426951e-01
-9.692038127336587650e+00 -5.300511088758188549e-01 -9.510277878990336387e-02
-9.673628458445840295e+00 -2.994642012239205897e-01 -4.488067652437777166e-02
-9.655836320798092842e+00 -6.507607587067729682e-01 -7.204157525849258503e-02
-9.659062745176964171e+00 -5.849116201240462942e-01 1.963044969591180577e-01
-9.703203991412198803e+00 -5.904292894552978233e-01 -2.837453956958251380e-02
-9.673416652990166398e+00 -6.291367279399135981e-01 8.762911301558856669e-02
-9.692772597315929772e+00 -6.318554832654794673e-01 7.962397789858011166e-02
-9.597437798770702244e+00 -4.351501638709462938e-01 1.463478819095148653e-01
-9.674403702534693394e+00 -3.647434695414242256e-01 -2.306272875831277824e-01
-9.613600751281337509e+00 -6.265208647072313397e-01 -6.844970400381905629e-02
-9.603685282443699123e+00 -5.224411433666702465e-01 -2.343833681789225798e-02
-9.659642989008730751e+00 -5.118734649447755913e-01 8.592180365049298385e-02
-9.640644361827128250e+00 -7.236440881339243347e-01 -4.304758712998041359e-03
-9.597983121133598416e+00 -4.937526473268336602e-01 -1.944924494293461259e-01
-9.661472079771593613e+00 -6.089580590534477977e-01 -1.925665637640943673e-01
-9.660504466028752901e+00 -4.709712972590258673e-01 -1.758574298952137946e-02
-9.678470407922258545e+00 -2.944270131278186042e-01 -6.645268722197247846e-02
-9.655321605471975488e+00 -4.254480602137604706e-01 1.574895317817790741e-01
-9.619047989171249924e+00 -3.795543702919914608e-01 1.493671514683841683e-01
-9.643276180966280364e+00 -4.979839340409544235e-01 1.606344610263316791e-02
-9.648395402483460614e+00 -6.875187439641639031e-01 3.808842326592617317e-02
-9.694041063534987401e+00 -6.101938064500282977e-01 6.568131123172439578e-02
-9.599378016976841010e+00 -6.075473309830305979e-01 -4.988730941209315040e-01
-9.646037450647042988e+00 -3.828694572986641731e-01 -5.529966126933044679e-02
-9.673874492479628273e+00 -5.696134683409894706e-01 8.031526973980601669e-02
-9.598696770341422990e+00 -4.675051051892626930e-01 1.156285691994732717e-01
-9.687155124680664642e+00 -5.746722470785359249e-01 7.482034622040253935e-02
-9.631144621939155215e+00 -5.691387230942019926e-01 -1.669430809715960473e-01
-9.605283969046848114e+00 -5.799717169859572863e-01 1.164778297819578645e-01
-9.703175435915243341e+00 -4.696029920265001323e-01 -1.595290805501067138e-02
-9.657339671288784899e+00 -6.248358539755631824e-01 -1.389261730683398199e-01
-9.589938955508571894e+00 -5.874218977593637092e-01 -6.316066238773007657e-02
-9.696351097092927418e+00 -5.874383114117200932e-01 7.140814573412898603e-02
-9.715967324098521374e+00 -6.077003711484065818e-01 1.151214381604153403e-01
-9.713411416956985178e+00 -5.756935386450203751e-01 -5.336066595635706733e-01
-9.615439848630309427e+00 -4.680742876450505463e-01 8.556082718498586592e-03
-9.668137709558063619e+00 -5.681451806811361749e-01 8.976579460195291404e-02
-9.648718580118419652e+00 -6.626493431245341625e-01 7.356910734282477715e-02
-9.642422913644871585e+00 -5.490910925874654680e-01 -6.082613993656910134e-02
-9.623397106403526635e+00 -4.939466432476482538e-01 -1.850929567273772169e-02
-9.704938495850763402e+00 -6.078389311901930547e-01 -1.426480899239256361e-01
-9.700682376367408821e+00 -6.801572563217059830e-01 -1.286132816682057645e-01
-9.655955237813493852e+00 -4.585394816593737488e-01 2.726284820323198188e-01
-9.652116830166443506e+00 -5.292311376748184415e-01 -3.025325079474661116e-01
-9.659175415300904177e+00 -4.785135704209775298e-01 -4.263868029943962412e-02
-9.626435583450977163e+00 -2.339241743945228436e-01 2.118293395623235820e-02
-9.651581496721471254e+00 -5.432115930969034778e-01 1.041074758837967767e-01
-9.643507082050543744e+00 -1.079450761382352297e-01 4.229265677751739561e-03
-9.590837224893835611e+00 -7.140633570994650015e-01 8.142685763245088859e-04
-9.609888472753336686e+00 -5.706168821482648923e-01 -7.726847633267906745e-02
-9.706605703803248275e+00 -7.321074333085659802e-01 1.813514060832276953e-01
-9.677228208477274052e+00 -4.064023657244559828e-01 -9.431561608821317777e-02
-9.692304423549879644e+00 -7.141741550089379942e-01 1.838823706514734410e-02
-9.633438655958784125e+00 -4.637740028761880851e-01 1.775973246868405853e-01
-9.674735989418996596e+00 -4.826539281105342027e-01 -2.159065921679733935e-01
-9.713822295349263669e+00 -2.863364177278331368e-01 6.058291436559620768e-02
-9.622071240980446305e+00 -3.932294094133004236e-01 3.664798996960932920e-02
-9.571454765556614674e+00 -2.394233963199470239e-01 -5.845797923770638949e-02
-9.604201610907519893e+00 -7.692712545976654326e-01 -3.716156500003907348e-02
-9.645529060879525218e+00 -7.013474864755346871e-01 1.576784231324674102e-01
-9.633286939561953588e+00 -4.724393354275697732e-01 -5.979913693597030400e-02
-9.673965474998599490e+00 -4.577057722603523615e-01 -9.861916283888993995e-03
-9.665099936489948362e+00 -4.287269728440596950e-01 6.321893980930064216e-02
-9.691615005197867561e+00 -4.190991625612596749e-01 3.324947237977469994e-02
-9.678174195854587936e+00 -4.479431590988651735e-01 3.596617153118462917e-02
-9.691084483456521070e+00 -4.196740920197106206e-01 2.385506411673534999e-01
-9.661604060392361859e+00 -3.471198894779172761e-01 1.037185405586072418e-01
-9.629396815147567068e+00 -7.013582327570806463e-01 6.889729027023477892e-03
-9.702038602780163501e+00 -9.364468852354321804e-01 2.061724991748273283e-02
-9.633700260676468119e+00 -8.059919068303758038e-01 -7.278819057681033822e-02
-9.659525856916404862e+00 -4.466840800925129251e-01 -6.936141033387666077e-02
-9.638800551718803789e+00 -6.102578043812414421e-01 -1.169911738979990262e-02
-9.710053733079293536e+00 -7.330630560966580056e-01 7.822875573622850576e-02
-9.624283265420283229e+00 -8.864639135346261689e-01 1.242250778396407351e-02
-9.662665367491145574e+00 -5.762100146046864602e-01 4.845095474891220055e-02
-9.561079996298321504e+00 -4.391236042678077212e-01 -1.703230154957819098e-01
-9.588620220275426931e+00 -5.910619782160031477e-01 -1.764510594783005537e+00
-9.707327459355603594e+00 -5.579648435730635292e-01 -1.703752424594112413e-01
-9.686517144098823806e+00 -6.070851648812478629e-01 3.214706744672506111e-02
