"mass","porb","label","numSimulation","Teff","logCN","star_mass","lg_mstar_dot_1","period_hours","period_days","teffError2","cnError2","massError2","mdotError2","totalError2"
1.2,2.7,"mass=1.200,Porb=2.700",1,4080.85065699557,-0.889493671868486,0.341879699000934,-8.99721752275735,7.13351186,0.297229660833333,0.685434860884929,0.322494819650441,0.298852725544375,0.990372500721045,0.574288726700198
1.2,2.8,"mass=1.200,Porb=2.800",1,4135.98017602152,-1.40108781878647,0.243755150969862,-9.37396030022706,7.13351186,0.297229660833333,0.613614403634888,0.786571837907944,0.531043926920958,0.427665206444298,0.589723843727022
1.2,2.9,"mass=1.200,Porb=2.900",1,4634.14213849254,-1.62470296209975,0.192643439804306,-9.68483841759341,7.13351186,0.297229660833333,0.625986371814397,0.98959694360352,0.827082888749224,0.0525068442233562,0.623793262097624
1.3,2.5,"mass=1.300,Porb=2.500",1,4963.54874354361,0.590906649846934,0.705654219786068,-8.12580028435236,7.13351186,0.297229660833333,1.09458794371925,1.0220037422025,2.14155590599017,2.29193119204436,1.63751969598907
1.3,2.6,"mass=1.300,Porb=2.600",1,4689.60729896223,0.524875477586839,0.6119796332336,-8.29218262903851,7.13351186,0.297229660833333,0.693072109035575,0.962052588945728,1.59320494929092,2.04342063101233,1.32293756957114
1.3,2.7,"mass=1.300,Porb=2.700",1,4354.08136472453,-0.186158238623269,0.491052372650438,-8.55206206078658,7.13351186,0.297229660833333,0.482060507469887,0.317597018587004,0.896539611921551,1.65526175810894,0.837864724021845
1.3,2.8,"mass=1.300,Porb=2.800",1,4323.37952027956,-1.76708550507067,0.186165851893678,-9.71075451955699,7.13351186,0.297229660833333,0.489421138213011,1.11886918522168,0.859810226168149,0.0773566132756661,0.636364290719627
1.3,2.9,"mass=1.300,Porb=2.900",1,4968.77184357018,-1.7615374972434,0.168988906589866,-9.86980943007907,7.13351186,0.297229660833333,1.11256598914224,1.11383202691996,0.960235672165852,0.312940689446942,0.874893594418748
1.4,2.5,"mass=1.400,Porb=2.500",1,4931.17096815894,0.551824487632221,0.694818287424095,-8.15738065587378,7.13351186,0.297229660833333,1.04689848367365,0.986520187748684,2.07156216732286,2.2447623902151,1.58743580724008
1.4,2.6,"mass=1.400,Porb=2.600",1,4662.88626479025,0.238142756666925,0.604377749039034,-8.31682458782824,7.13351186,0.297229660833333,0.654940048535466,0.701721646646403,1.55949586934311,2.00661512129724,1.23069317145556
1.4,2.7,"mass=1.400,Porb=2.700",1,4330.30154546485,-0.637878062225551,0.491556840927077,-8.58505289488808,7.13351186,0.297229660833333,0.489360037197757,0.127497798658755,0.895293183178405,1.60598627333954,0.779534323093615
1.4,2.8,"mass=1.400,Porb=2.800",1,4197.86375516177,-2.03934784934726,0.227807646078507,-9.42841425641837,7.13351186,0.297229660833333,0.563553970112461,1.3660621543769,0.616174995039026,0.346332158583703,0.723030819528023
1.4,2.9,"mass=1.400,Porb=2.900",1,5671.58742540536,-1.98448792599891,0.15667431706836,-10.1754561560304,7.13351186,0.297229660833333,2.41738674209767,1.3162536236521,1.02975894020335,0.769458113137827,1.38321435477274
1.5,2.5,"mass=1.500,Porb=2.500",1,4800.04251774704,0.154434039825182,0.649552572997653,-8.22780742249656,7.13351186,0.297229660833333,0.831223054962976,0.625720661951793,1.81645619185343,2.13957217115602,1.35324301998106
1.5,2.6,"mass=1.500,Porb=2.600",1,4518.83633049995,-0.58060356933346,0.555843485712919,-8.4071226582174,7.13351186,0.297229660833333,0.5110079968463,0.106691089728627,1.2763799859696,1.87174489708656,0.941455992407773
1.5,2.7,"mass=1.500,Porb=2.700",1,4214.95746052906,-1.24884509973733,0.442808019493093,-8.70987657138804,7.13351186,0.297229660833333,0.538371347854533,0.648347325612589,0.611227845835713,1.41954821144301,0.804373682686462
1.5,2.8,"mass=1.500,Porb=2.800",1,4041.50146904117,-1.63274943978184,0.331573715317795,-9.04295594134127,7.13351186,0.297229660833333,0.714929370442155,0.996902517625375,0.298947222286762,0.922057078886783,0.733209047310269
1.5,2.9,"mass=1.500,Porb=2.900",1,7250.55030318602,-2.47095930669168,0.171933830303415,-11.5522778020657,7.13351186,0.297229660833333,5.33786494186619,1.75793168721979,0.943848081210505,2.82589457184202,2.71638482053463
1.6,2.5,"mass=1.600,Porb=2.500",1,4551.08487508723,-0.917858763153084,0.564239567739174,-8.41651596478383,7.13351186,0.297229660833333,0.560387475051971,0.348073603049984,1.32052966590826,1.85771494763986,1.02167642291252
1.6,2.6,"mass=1.600,Porb=2.600",1,4282.56949598087,-1.46405371302118,0.4642274467885,-8.65479072681998,7.13351186,0.297229660833333,0.507241940735648,0.843739957842953,0.738212433746329,1.50182505496481,0.897754846822436
1.6,2.7,"mass=1.600,Porb=2.700",1,4108.76459748473,-1.79371650314341,0.365665741687659,-8.93540611991851,7.13351186,0.297229660833333,0.644180424470207,1.1430480539619,0.328345974694454,1.08269471451502,0.799567291910395
1.6,2.8,"mass=1.600,Porb=2.800",1,4076.88399332666,-1.94805269952472,0.27034069469688,-9.27394824200826,7.13351186,0.297229660833333,0.676204544536285,1.28317328036067,0.417482993575868,0.57704435328109,0.738476292938479
1.6,2.9,"mass=1.600,Porb=2.900",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA
1.7,2.5,"mass=1.700,Porb=2.500",1,4324.98361978535,-1.75089665431915,0.469090287312443,-8.63836198897859,7.13351186,0.297229660833333,0.497603291029656,1.10417097164716,0.76400383178943,1.52636320452456,0.9730353247477
1.7,2.6,"mass=1.700,Porb=2.600",1,4171.24802059701,-1.99941509447375,0.379550890683921,-8.90130134933921,7.13351186,0.297229660833333,0.592360619205053,1.32980632814445,0.359377157343441,1.13363398746803,0.853794523040244
1.7,2.7,"mass=1.700,Porb=2.700",1,4151.91232691423,-2.09235183998103,0.303669025983577,-9.1650621301357,7.13351186,0.297229660833333,0.600146338158768,1.41418564297996,0.331287941886059,0.739677887512672,0.771324452634366
1.7,2.8,"mass=1.700,Porb=2.800",1,4319.32115836405,-2.08721072356308,0.245137252937369,-9.42022846350313,7.13351186,0.297229660833333,0.491316831772215,1.40951791033591,0.520428912297134,0.358558551917048,0.694955551580578
