"mass","porb","label","numSimulation","Teff","logCN","star_mass","lg_mstar_dot_1","period_hours","period_days","teffError2","cnError2","massError2","mdotError2","totalError2"
1,3.4,"mass=1.000,Porb=3.400",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA
1.1,2.4,"mass=1.100,Porb=2.400",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA
1.1,2.5,"mass=1.100,Porb=2.500",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA
1.1,2.6,"mass=1.100,Porb=2.600",1,5526.25127136559,0.597150989503739,0.936848760139341,-7.3819706984257,7.13351186,0.297229660833333,1.8789820537892,1.01007446912686,2.18419019808538,2.2794912064737,1.83818448186879
1.1,2.7,"mass=1.100,Porb=2.700",1,5431.71344532631,0.597150958890546,0.893242692182961,-7.38427453849542,7.13351186,0.297229660833333,1.72645445776168,1.0100744427132,2.03092462475967,2.27688590963328,1.76108485871696
1.1,2.8,"mass=1.100,Porb=2.800",1,5288.45158935834,0.597150185480457,0.828786152365421,-7.43352145780825,7.13351186,0.297229660833333,1.48334924335265,1.01007377539991,1.7929354256626,2.22119504594323,1.62688837258959
1.1,2.9,"mass=1.100,Porb=2.900",1,4988.47993981379,0.597050472426084,0.70147841318486,-7.63674749677707,7.13351186,0.297229660833333,0.99921811332851,1.00998774103419,1.33045671808226,1.99137694173678,1.33275987854543
1.1,3,"mass=1.100,Porb=3.000",1,4236.10302300479,-0.250946426823517,0.384490435970222,-8.6392048495823,7.13351186,0.297229660833333,0.469215322177216,0.28192499020068,0.233291174850912,0.857748349955506,0.460544959296078
1.1,3.1,"mass=1.100,Porb=3.100",1,4255.95995427784,-1.17275414543987,0.256734020654493,-9.1714693365061,7.13351186,0.297229660833333,0.46035999803568,0.517045233200624,0.295704975100749,0.255837217199476,0.382236855884133
1.1,3.2,"mass=1.100,Porb=3.200",1,4760.20148373164,-1.47928092160641,0.19913389871775,-9.47551288481272,7.13351186,0.297229660833333,0.67604359086552,0.781511432628026,0.49160784817372,0.0879903367034379,0.509288302092676
1.1,3.3,"mass=1.100,Porb=3.300",1,6111.94560448182,-2.07133339852237,0.158338580890586,-10.0637110050492,7.13351186,0.297229660833333,2.84069413580564,1.29234584288065,0.637224628949278,0.753154001637549,1.38085465231828
1.2,2.4,"mass=1.200,Porb=2.400",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA
1.2,2.5,"mass=1.200,Porb=2.500",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA
1.2,2.6,"mass=1.200,Porb=2.600",1,NA,NA,NA,NA,7.13351186,0.297229660833333,NA,NA,NA,NA,NA
1.2,2.7,"mass=1.200,Porb=2.700",1,5408.86657670577,0.59715045733669,0.929915337035966,-7.28258973027666,7.13351186,0.297229660833333,1.69554306591678,1.01007400996276,2.15594492177565,2.39187614400485,1.81335953541501
1.2,2.8,"mass=1.200,Porb=2.800",1,5086.2799455829,0.597028866877365,0.778096297935197,-7.56296142199219,7.13351186,0.297229660833333,1.16099062898943,1.00996909934588,1.60924040606101,2.07481790191067,1.46375450907675
1.2,2.9,"mass=1.200,Porb=2.900",1,4973.14620194245,0.59597773879751,0.695717817516281,-7.60850850799122,7.13351186,0.297229660833333,0.983408641771618,1.00906216556262,1.3095405985286,2.0233109935955,1.33133059986458
1.2,3,"mass=1.200,Porb=3.000",1,4119.21317401009,-1.05540420390698,0.323752985933707,-8.8679462345955,7.13351186,0.297229660833333,0.557214749972696,0.415877693024677,0.194015534177315,0.599076224454132,0.441546050407205
1.2,3.1,"mass=1.200,Porb=3.100",1,4260.73940906691,-1.55606713105753,0.226449147617615,-9.32668197127313,7.13351186,0.297229660833333,0.460707858958368,0.847764069936163,0.39676733617592,0.0803439630685776,0.446395807034757
1.2,3.2,"mass=1.200,Porb=3.200",1,4785.96581641325,-1.704441943295,0.18920791789709,-9.58583149716619,7.13351186,0.297229660833333,0.715683609629875,0.975784748272811,0.527875082638548,0.212744105848385,0.608021886597405
